ZIP,ZCTA
36344,36344
36349,36375
36375,36375
36477,36477
35443,35443
35448,35462
35462,35462
35469,35469
35491,35462
36740,36740
35441,35441
35474,35474
36742,36742
36744,36744
36765,36765
36776,36776
36310,36310
36345,36345
36353,36353
36373,36373
36301,36301
36302,36301
36303,36303
36304,36301
36305,36305
36312,36312
36319,36319
36320,36320
36321,36321
36343,36343
36370,36370
36376,36376
35740,35740
35744,35744
35745,35745
35746,35746
35751,35751
35752,35752
35755,35755
35764,35764
35765,35765
35766,35766
35768,35768
35769,35769
35771,35771
35772,35772
35774,35774
35776,35776
35958,35958
35966,35966
35979,35979
35005,35005
35006,35006
35015,35210
35020,35020
35021,35224
35022,35022
35023,35023
35036,35036
35048,35126
35060,35060
35061,35061
35064,35064
35068,35068
35071,35071
35073,35073
35091,35091
35094,35094
35111,35111
35116,35116
35117,35117
35118,35118
35119,35119
35123,35126
35126,35126
35127,35127
35139,35139
35142,35022
35172,35172
35173,35173
35180,35180
35181,35224
35201,35203
35202,35203
35203,35203
35204,35204
35205,35205
35206,35206
35207,35207
35208,35208
35209,35209
35210,35210
35211,35211
35212,35212
35213,35213
35214,35214
35215,35215
35216,35216
35217,35217
35218,35218
35219,35224
35220,35224
35221,35221
35222,35222
35223,35223
35224,35224
35226,35226
35228,35228
35229,35229
35231,35224
35232,35224
35233,35233
35234,35234
35235,35235
35236,35224
35237,35203
35238,35224
35243,35243
35244,35244
35246,35203
35249,35203
35253,35224
35254,35254
35255,35224
35259,35224
35260,35224
35261,35224
35266,35226
35270,35203
35282,35224
35283,35203
35285,35224
35287,35203
35288,35228
35290,35224
35291,35203
35292,35203
35293,35224
35294,35224
35295,35203
35296,35224
35297,35224
35298,35224
35544,35544
35552,35552
35574,35574
35576,35576
35586,35586
35592,35592
35610,35610
35617,35633
35630,35630
35631,35633
35632,35633
35633,35633
35634,35634
35645,35645
35648,35648
35652,35652
35677,35677
35618,35618
35643,35643
35650,35650
35651,35651
35672,35672
36801,36801
36802,36804
36803,36801
36804,36804
36830,36830
36831,36830
36832,36832
36849,36849
36865,36865
36872,36804
36874,36874
36877,36877
36879,36879
35611,35611
35612,35611
35613,35613
35614,35614
35615,35615
35620,35620
35647,35647
35649,35649
35671,35671
35739,35739
35742,35749
36032,36032
36040,36040
36047,36047
36752,36752
36031,36031
36039,36039
36075,36075
36083,36083
36087,36083
36088,36088
36866,36866
35741,35741
35748,35748
35749,35749
35750,35750
35756,35756
35757,35757
35758,35758
35759,35759
35760,35760
35761,35761
35762,35811
35763,35763
35767,35811
35773,35773
35801,35801
35802,35802
35803,35803
35804,35801
35805,35805
35806,35806
35807,35801
35808,35808
35809,35801
35810,35810
35811,35811
35812,35801
35813,35801
35814,35801
35815,35801
35816,35816
35824,35824
35893,35801
35894,35801
35895,35801
35896,35896
35897,35801
35898,35801
35899,35816
36732,36732
36736,36736
36738,36738
36745,36732
36748,36748
36754,36754
36763,36763
36764,36782
36782,36782
36783,36783
35543,35543
35548,35548
35563,35563
35564,35564
35570,35570
35594,35594
35016,35016
35175,35175
35747,35747
35950,35950
35951,35951
35956,35956
35957,35957
35964,35980
35976,35976
35980,35980
36421,36421
36505,36505
36509,36509
36512,36512
36521,36521
36522,36522
36523,36523
36525,36525
36528,36528
36541,36541
36544,36544
36560,36560
36568,36568
36571,36571
36572,36572
36575,36575
36582,36582
36587,36587
36590,36590
36601,36602
36602,36602
36603,36603
36604,36604
36605,36605
36606,36606
36607,36607
36608,36608
36609,36609
36610,36610
36611,36611
36612,36612
36613,36613
36615,36615
36616,36616
36617,36617
36618,36618
36619,36619
36628,36602
36633,36609
36640,36609
36641,36609
36644,36602
36652,36602
36660,36609
36663,36602
36670,36609
36671,36609
36675,36602
36685,36609
36688,36688
36689,36609
36691,36602
36693,36693
36695,36695
36425,36425
36439,36439
36444,36444
36445,36445
36449,36445
36457,36445
36458,36445
36460,36460
36461,36460
36470,36470
36471,36471
36480,36480
36481,36481
36013,36013
36036,36036
36043,36043
36046,36046
36052,36052
36057,36116
36064,36064
36065,36069
36069,36069
36101,36106
36102,36116
36103,36106
36104,36104
36105,36105
36106,36106
36107,36107
36108,36108
36109,36109
36110,36110
36111,36111
36112,36112
36113,36113
36114,36115
36115,36115
36116,36116
36117,36117
36118,36116
36119,36116
36120,36116
36121,36116
36123,36104
36124,36116
36125,36116
36130,36116
36131,36116
36132,36116
36135,36116
36140,36116
36141,36116
36142,36116
36177,36116
36191,36116
35601,35601
35602,35601
35603,35603
35609,35601
35619,35619
35621,35621
35622,35622
35640,35640
35670,35670
35673,35673
35699,35601
35754,35754
35775,35775
36756,36756
36786,36786
35442,35442
35447,35447
35461,35461
35466,35466
35471,35447
35481,35481
36005,36005
36010,36010
36035,36035
36079,36079
36081,36081
36082,36082
36263,36263
36274,36274
36276,36276
36278,36278
36280,36280
36851,36871
36856,36856
36858,36858
36859,36859
36860,36860
36867,36867
36868,36867
36869,36869
36870,36870
36871,36871
36875,36875
35004,35004
35052,35052
35054,35054
35112,35112
35120,35120
35125,35125
35128,35128
35131,35131
35135,35135
35146,35146
35182,35131
35953,35953
35987,35987
35007,35007
35040,35040
35043,35043
35051,35051
35078,35078
35080,35080
35114,35114
35115,35115
35124,35124
35137,35007
35143,35143
35144,35007
35147,35147
35176,35176
35178,35178
35185,35078
35186,35186
35187,35187
35242,35242
35459,35459
35460,35460
35464,35464
35470,35470
35477,35477
36901,36901
36907,36907
36925,36925
35014,35014
35032,35032
35044,35044
35096,35096
35149,35149
35150,35150
35151,35151
35160,35160
35161,35160
36268,36268
35010,35010
35011,35089
36023,36853
36256,36256
36850,36850
36853,36853
36861,36861
35401,35401
35402,35406
35403,35401
35404,35404
35405,35405
35406,35406
35407,35406
35440,35444
35444,35444
35446,35446
35449,35453
35452,35452
35453,35453
35456,35456
35457,35457
35458,35458
35463,35463
35468,35444
35473,35473
35475,35475
35476,35476
35478,35406
35480,35480
35482,35406
35486,35401
35487,35475
35490,35490
35038,35130
35062,35062
35063,35063
35130,35130
35148,35148
35501,35501
35502,35501
35503,35503
35504,35504
35549,35549
35550,35550
35554,35554
35560,35580
35573,35549
35578,35578
35579,35579
35580,35580
35584,35584
35587,35587
36513,36513
36518,36518
36529,36529
36538,36538
36539,36539
36548,36548
36553,36553
36556,36556
36558,36558
36569,36569
36581,36581
36583,36583
36584,36584
36585,36585
36435,36435
36720,36720
36722,36722
36723,36723
36726,36726
36728,36728
36741,36768
36751,36751
36753,36753
36766,36766
36768,36768
36769,36769
35540,35540
35541,35541
35551,35565
35553,35553
35565,35565
35572,35572
35575,35575
35577,35577
72003,72003
72026,72026
72038,72038
72042,72042
72048,72048
72055,72055
72073,72073
72140,72140
72160,72160
72166,72166
71635,71635
71642,71642
71646,71646
71658,71658
71661,71661
71663,71663
71676,71676
72537,72537
72544,72544
72617,72617
72623,72623
72626,72626
72635,72635
72642,72642
72651,72651
72653,72653
72654,72653
72658,72658
72659,72658
72711,72756
72712,72712
72713,72712
72714,72714
72715,72715
72716,72712
72718,72718
72719,72719
72722,72722
72732,72732
72733,72732
72734,72734
72736,72736
72739,72739
72745,72745
72747,72747
72751,72751
72756,72756
72757,72756
72758,72758
72761,72761
72768,72768
72260,72204
72601,72601
72602,72601
72611,72611
72615,72601
72630,72630
72633,72633
72644,72644
72662,72662
72682,72682
71631,71631
71647,71647
71651,71651
71671,71671
71744,71744
71745,71745
71766,71766
72613,72632
72616,72616
72631,72631
72632,72632
72638,72638
72660,72660
71638,71638
71640,71640
71653,71653
71721,71743
71728,71743
71743,71743
71772,71772
71920,71921
71921,71921
71923,71923
71962,71962
71998,71998
71999,71999
72422,72422
72424,72424
72430,72430
72435,72435
72441,72441
72453,72453
72454,72454
72456,72456
72461,72461
72464,72464
72470,72470
72044,72044
72067,72067
72130,72130
72131,72131
72179,72179
72523,72523
72530,72530
72543,72543
72545,72581
72546,72546
72581,72581
71652,71652
71660,71660
71665,71665
71740,71740
71752,71752
71753,71753
71754,71753
71770,71770
71861,71861
72027,72027
72030,72030
72063,72063
72080,72080
72107,72107
72110,72110
72127,72127
72156,72156
72157,72157
72401,72401
72402,72401
72403,72401
72404,72404
72411,72411
72414,72414
72416,72416
72417,72417
72419,72419
72421,72421
72427,72427
72437,72437
72447,72447
72467,72467
72921,72921
72932,72932
72934,72934
72935,72935
72946,72946
72947,72947
72948,72948
72952,72952
72955,72955
72956,72956
72957,72956
72301,72301
72303,72301
72325,72325
72327,72327
72331,72331
72332,72332
72339,72339
72364,72364
72376,72376
72384,72384
72324,72324
72347,72347
72373,72373
72387,72396
72396,72396
71725,71725
71742,71742
71748,71742
71763,71763
71630,71630
71639,71639
71654,71654
71662,71662
71666,71666
71670,71670
71674,71674
72379,72379
71655,71655
71656,71655
71657,71655
71675,71675
71677,71677
72032,72032
72033,72032
72034,72034
72035,72035
72039,72039
72047,72047
72058,72058
72061,72061
72106,72106
72111,72111
72173,72173
72181,72181
72820,72821
72821,72821
72928,72928
72930,72930
72933,72933
72949,72949
72515,72515
72520,72520
72531,72531
72538,72538
72539,72539
72554,72554
72576,72576
72578,72578
72583,72583
71901,71901
71902,71913
71903,71913
71909,71909
71910,71909
71913,71913
71914,71901
71949,71949
71956,71956
71964,71964
71968,71968
72087,72087
72057,72057
72084,72084
72128,72128
72129,72129
72150,72150
72412,72412
72425,72425
72436,72436
72443,72443
72450,72450
72451,72450
72474,72450
71801,71801
71802,71801
71825,71825
71831,71862
71838,71838
71847,71847
71855,71855
71862,71862
71929,71929
71933,71933
71941,71941
71942,71923
72019,72019
72104,72104
72105,72104
71833,71833
71851,71851
71852,71852
71859,71859
71971,71971
72165,72165
72501,72501
72503,72501
72522,72522
72524,72524
72526,72526
72527,72527
72534,72534
72550,72550
72553,72553
72562,72562
72564,72564
72568,72568
72571,72571
72575,72501
72579,72579
72512,72512
72517,72517
72519,72519
72528,72528
72536,72536
72540,72540
72556,72556
72561,72561
72565,72565
72566,72566
72573,72573
72584,72584
72585,72585
72587,72587
72005,72005
72014,72014
72043,72112
72075,72112
72112,72112
72169,72169
72431,72431
72471,72471
72473,72473
71601,71601
71602,71602
71603,71603
71611,71602
71612,71602
71613,71603
71659,71659
72004,72004
72079,72079
72132,72132
72133,72160
72152,72152
72168,72168
72175,72175
72182,72168
72830,72830
72832,72832
72839,72839
72840,72840
72845,72845
72846,72846
72852,72852
72854,72854
71826,71826
71827,71827
71839,71839
71845,71845
71860,71860
72410,72410
72415,72415
72433,72433
72434,72434
72440,72440
72445,72445
72457,72457
72458,72458
72459,72459
72465,72476
72466,72466
72469,72469
72476,72476
72572,72572
72311,72311
72320,72320
72341,72341
72352,72360
72360,72360
72368,72368
71643,71643
71644,71644
71667,71667
71678,71643
71820,71820
71822,71822
71836,71836
71853,71853
71865,71865
71866,71866
72826,72826
72835,72835
72851,72851
72855,72855
72863,72863
72865,72865
72927,72927
72943,72943
72951,72951
72007,72007
72023,72023
72024,72024
72037,72037
72046,72046
72072,72072
72083,72083
72086,72086
72176,72176
72721,72721
72738,72738
72740,72740
72742,72742
72752,72752
72760,72760
72773,72773
72776,72776
72619,72619
72634,72634
72661,72661
72668,72668
72672,72672
72677,72677
72687,72687
71834,71834
71837,71837
71840,71854
71854,71854
72310,72315
72313,72350
72315,72315
72316,72315
72319,72315
72321,72321
72329,72329
72330,72330
72338,72338
72350,72350
72351,72351
72358,72358
72370,72370
72391,72370
72395,72395
72426,72426
72428,72428
