Player,PlayersNthBuzzerBeater,Date,Year,Team,Location,Opp,Margin,Type,Assisted,AssistedGrouped,Distance,Minutes,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Alonzo Mourning,1,12/9/1993,1993,CHH,Home,CLE,0,2-pt FG,L. Johnson,Assisted,10,43,23,8,20,0.4,0,0,,7,9,0.778,12,5,0,5,20.2
Horace Grant,1,11/19/1993,1993,CHI,Away,LAL,0,2-pt FG,unassisted,Unassisted,0,41,13,6,16,0.375,0,0,,1,8,0.125,23,5,0,6,19.2
Elden Campbell  ,1,11/16/1993,1993,LAL,Home,LAC,0,2-pt FG,J. Worthy,Assisted,10,38,7,1,10,0.1,0,0,,5,6,0.833,5,1,1,5,5.9
Mark Aguirre,1,11/5/1993,1993,LAC,Home,POR,-1,3-pt FG,M. Jackson,Assisted,25,17,6,2,3,0.667,2,2,1,0,0,,2,3,0,0,5.2
Michael Jordan  ,4,5/17/1993,1993,CHI,Away,CLE,0,2-pt FG,unassisted,Unassisted,18,40,31,11,24,0.458,2,2,1,7,9,0.778,9,6,2,1,23.8
Mahmoud Abdul-Rauf  ,2,4/25/1993,1993,DEN,Home,PHO,-1,3-pt FG,unassisted,Unassisted,23,35,23,11,21,0.524,1,4,0.25,0,0,,4,1,2,0,13.2
Charles Barkley  ,3,4/22/1993,1993,PHO,Away,POR,-1,2-pt FG,unassisted,Unassisted,10,34,25,11,19,0.579,0,3,0,3,4,0.75,8,5,2,0,19
Danny Ferry,1,4/10/1993,1993,CLE,Away,NJN,-1,2-pt FG,M. Price,Assisted,17,24,18,7,9,0.778,1,1,1,3,4,0.75,0,1,0,0,11.8
Dan Majerle,1,4/6/1993,1993,PHO,Home,LAL,-2,3-pt FG,O. Miller,Assisted,33,41,20,6,12,0.5,3,5,0.6,5,6,0.833,4,8,3,0,20.6
Jon Koncak,1,1/19/1993,1993,ATL,Away,CHH,0,2-pt FG,unassisted,Unassisted,0,26,2,1,5,0.2,0,0,,0,0,,7,4,0,1,3.5
Ron Anderson,1,1/8/1993,1993,PHI,Away,WSB,0,2-pt FG,unassisted,Unassisted,0,27,23,10,15,0.667,2,2,1,1,3,0.333,7,4,0,0,19.4
Gary Grant,1,1/2/1993,1993,LAC,Away,NYK,-1,2-pt FG,J. Williams,Assisted,21,23,6,3,7,0.429,0,0,,0,0,,2,5,2,0,5.2
Mahmoud Abdul-Rauf  ,1,11/27/1992,1992,DEN,Away,LAC,0,3-pt FG,unassisted,Unassisted,55,30,19,6,12,0.5,2,3,0.667,5,5,1,3,4,0,0,14.7
Michael Jordan  ,3,11/11/1992,1992,CHI,Home,DET,-1,3-pt FG,unassisted,Unassisted,26,52,37,13,24,0.542,3,3,1,8,10,0.8,10,4,0,1,26.5
