region_id,country_name,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,composition_rubber_leather_percent,composition_wood_percent,composition_yard_garden_green_waste_percent,population_population_number_of_people,special_waste_agricultural_waste_tons_year,special_waste_construction_and_demolition_waste_tons_year,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,special_waste_industrial_waste_tons_year,special_waste_medical_waste_tons_year,total_msw_total_msw_generated_tons_year
ECS,Croatia,28829.35547,30.9,3.7,2.1,11.5,23.2,22.9,0,0,5.7,4067500,395664,805354,58078,130326,0,56814,1810037.5
LCN,Haiti,2952.618652,61.3,1.6,2.5,16.8,4.1,12.7,0,1,0,10847334,0,0,6000,0,0,0,2309852.455
ECS,Hungary,32643.49023,22.5,3.5,1.8,45.9,13.4,13,0,0,0,9769949,699238,7605276,50066,596554,0,489182,3780970.25
EAS,Indonesia,10531.19824,53.8,2.5,1.8,12.9,14.9,14,0,0,0,261115456,122000000,0,1274000,23000000,0,82125,65200000
ECS,Ireland,83388.71875,16.6,8.5,3.7,25.8,25,12.4,0,1.9,6.1,4867316,554285,7898378,212874,482907,0,776112,2910655
MEA,"Iran, Islamic Rep.",14535.8623,72.9,1.9,2.3,5,7.3,8.5,1.1,1.3,0,80277424,16049000,80000000,630000,8000000,30000000,1609650,17885000
MEA,Iraq,10310.67969,68.7,2.3,0.98,6,9.6,5.29,5.09,0.85,0.93,36115648,0,0,221000,20622,0,0,13140000
ECS,Iceland,55274.1875,10,0,0,0,38,9,0,29,14,343400,5000,1000,7600,7000,10000,0,225270.4063
MEA,Israel,37687.74609,34,3,3,16,24,18,0,0,2,8380100,0,7000000,120000,321000,0,0,5400000
ECS,Italy,42419.72266,34.4,7.6,4.3,15.4,22.8,11.6,0,3.8,0,60297396,6921585,61938678,2800026,8923548,0,16071024,30088400
LCN,Jamaica,9550.810547,62.22,2.81,2.38,5.13,14.73,12.2,0,0.53,0,2881355,0,0,17000,10000,0,206.58,1051694.575
MEA,Jordan,10413.17578,50,2,1.5,15.5,15,16,0,0,0,8413464,4000000,0,43000,1230441,45000,4000,2529997
EAS,Japan,41309.95703,36,5,4,6,33,11,1,4,0,126529104,35109000,72690000,518978,3600000,392840000,320000,42720000
ECS,Kazakhstan,22702.58008,30,5,3,7,25,25,0,2.5,0,16791424,0,0,147000,0,0,0,4659740
SSF,Kenya,3329.854492,57,3,1,9,11.3,18.7,0,0,0,41350152,0,0,17350,0,0,909182,5595099
EAS,Cambodia,3364.278809,66.6,2.6,2,10.4,4,8.6,0,5.8,0,15270790,0,0,14000,0,0,147.09,1089000
EAS,Kiribati,2249.768555,43.6,5.5,10,9.3,10.9,16.5,4.2,0,0,114395,0,0,100,0,766.5,16.22,35723.8275
LCN,St. Kitts and Nevis,25569.35742,27.2,8.1,8.8,12.2,20.5,23.2,0,0,0,54288,0,0,700,0,0,0,32892.14
EAS,"Korea, Rep.",42105.28125,30,2.5,2.6,0,41,24.3,0,0,0,51606632,0,68119600,570635,0,39810000,0,20452776
MEA,Kuwait,58810.30078,45,4,2,8,20,20,0,1,1,2998083,0,1149000,67000,203000,7000,33000,1750000
EAS,Lao PDR,6543.666992,16.9,9.3,3.7,20.3,2.8,6.1,1.1,38.2,1.2,6663967,0,0,7500,5200,49500,1200,351900
MEA,Lebanon,16966.74023,52.5,3.5,5.5,11,16,11.5,0,0,0,5603279,0,0,51000,46000,0,5568,2040000
MEA,Libya,8479.946289,70.1,3.1,4.3,3.8,5.5,7.5,0,2.5,0,6193501,0,3641150,70000,0,0,0,2147596.472
LCN,St. Lucia,14029.98242,45,7,5,11,10,22,0,0,0,177206,0,0,1600,2732,0,49.63,77616.228
ECS,Liechtenstein,45726.98828,37.6,5,12.5,9.1,30.3,5.4,0,0,0,36545,2612,513728,293,1204,0,127,32382
SAS,Sri Lanka,12287.47266,62,2,3,13,7,7,0,6,0,21203000,0,65700,72.5,0,53000,9855,2631650
ECS,Lithuania,37278.30469,40.4,8.65,2.75,44.05,10.05,10.15,0,0.6,0,2786844,551038,3011590,82691,165477,0,70124,1315390.375
ECS,Luxembourg,114323.4063,30,4,2,27,19,18,0,0,0,619896,95427,6272673,7398,237180,0,47825,490337.75
ECS,Latvia,30982.17383,46.7,21.4,2.6,9.7,6.1,7.7,3.6,2.4,0,1912789,105480,671423,25071,104142,0,65624,839714.375
EAS,"Macao SAR, China",117335.5859,3.1,3.3,1.7,3.1,58.7,7.9,0,22.3,0,612167,0,52000,11000,3118,0,11493,377942
MEA,Morocco,6915.103027,60,2,2.5,6,9,8,0,0,0,34318080,0,7000000,30300,289385,1599710.62,21000,6852000
ECS,Moldova,10360.83008,55,4,3,23,5,10,0,0,0,3554108,0,1400000,6300,418,2841700,15700,3981200
SAS,Maldives,17284.60938,24,0,1,1,6,3,0,0,65,409163,0,6161.2,3003.95,15105.525,0,1737.4,211505.78
LCN,Mexico,19332.07422,52.4,5.9,3.4,12.1,13.8,10.9,0,0,0,125890952,0,6000000,957900,18172.49,0,978.06,53100000
EAS,Marshall Islands,3628.895264,8,2,6,31,11,13,0,0,29,52793,0,0,0,0,0,43.16,8614
ECS,"Macedonia, FYR",16147.72949,29.3,4.1,2.5,19.8,12.8,13.9,0.9,0.7,16,2082958,91933,121551,1220,40797,0,951293,626970.375
SSF,Mali,2007.80603,17.5,1,3.5,72.5,3.5,2,0,0,0,16006670,0,0,12000,0,0,0,1937354.44
MEA,Malta,43707.53906,52,6,4,9.5,18,12,0,0,0,502653,16607,1258426,7643,36523,106235,23418,348841.1875
ECS,Montenegro,20752.62109,33.82,8.97,2.9,19.46,13.72,18.42,0,2.7,0,622227,0,92228,6200,3819.21,453791.52,2331.4,329780.3125
EAS,Mongolia,10940.41504,22.7,0,0,50.1,12.7,14.5,0,0,0,3027398,0,126300,14000,0,81400,967.25,2900000
EAS,Northern Mariana Islands,60955.72656,43.6,5.5,10,9.3,10.9,16.5,4.2,0,0,54036,0,0,0,0,0,0,32761.4145
SSF,Mozambique,1217.09021,60,0,0,15,25,0,0,0,0,27212382,0,0,17000,0,0,0,2500000
SSF,Mauritania,4783.635742,4.8,4,4.2,59.7,7.3,20,0,0,0,3506288,0,0,5100,0,0,0,454000
SSF,Mauritius,20646.93359,64,2.8,0,8,13,12.4,0,0,0,1263473,0,0,11000,17000,0,0,438000
EAS,Malaysia,23906.26563,46,3,3,9,14,15,3,7,0,30228016,42000000,0,280000,2918478,831835,19500,12982685
EAS,New Caledonia,57330.20313,43.6,5.5,10,9.3,10.9,16.5,4.2,0,0,278000,0,0,0,0,0,324,108157.384
SSF,Niger,1038.224121,38,0,1,57,2,2,0,0,0,8842415,0,0,7900,554000,0,0,1865645.67
ECS,Netherlands,56849.375,35,5.4,4.3,20.24,21,14,0,0,0,17332850,14718640,96206470,534410,4830495,0,2391871,8805088
ECS,Norway,64962.26172,15.49,4.6,6.12,13.15,26.57,2.25,0,17.21,14.68,5347896,399805,3030449,150000,1482000,415000,1054590,4149967.25
SAS,Nepal,2902.249268,52.39,4.36,1.9,7.12,18.21,15.14,0.9,0,0,28982772,0,0,23000,5051,0,13408.27,1768977.49
EAS,Nauru,11167.31934,43.6,5.5,10,9.3,10.9,16.5,4.2,0,0,13049,0,0,0,0,0,0,6191.7505
EAS,New Zealand,41857.47656,28,4,4.5,37,7,8,1,11,0,4692700,132.5342,3000000,95000,0,1750000,0,3405000
MEA,Oman,30535.83398,27,6,0,24,15,21,0,2,5,3960925,0,735341,59000,1469835,0,4500,1734885.15
SAS,Pakistan,4571.414551,30,6,4,20,13,9,2,2,14,193203472,82120000,0,301000,1538000,0,292000000,30760000
LCN,Panama,28436.35938,46.4,5.8,3.8,5.7,26.3,12,0,0,0,3969249,0,0,3200,0,0,3094.7,1472262.215
LCN,Peru,11877.08398,50.43,3.05,2.64,21.7,7.44,10.52,1.25,0,2.97,30973354,0,0,182000,660180.1793,0,7176,8356711.13
EAS,Philippines,7705.04541,52.31,2.34,4.22,21.52,8.7,10.55,0.37,0,0,103320224,0,0,290000,4332222.32,0,0,14631922.9
EAS,Palau,18275.02539,26,5,10,9,15,32,1,0,2,21503,0,0,200,0,0,10.92,9426.7455
EAS,Papua New Guinea,3912.381104,31,0,0,42,16.6,10,0,0,0,7755785,0,0,7000,0,0,572,1000000
ECS,Poland,33221.54297,37.27,10.07,2.17,26.69,11.27,12.13,0,0.4,0,37970872,4679634,135184220,224452,1679051,0,2486818,12758213
LCN,Puerto Rico,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,0,0,20.5,3473181,0,0,946.44,4.92,0,0,4170953
ECS,Portugal,34961.94531,36.49,6.73,1.85,27.68,13.64,10.72,0,0.93,1.94,10269417,183064,2743219,170078,701228,0,817492,5268211
MEA,West Bank and Gaza,5985.683105,59.1,2.4,2.7,11.5,10.1,14.2,0,0,0,4046901,440000,0,0,62621,131344,4572,1387000
EAS,French Polynesia,60955.72656,47,3,3,29,16,2,0,0,0,273528,0,0,0,0,0,360,147000
MEA,Qatar,96261.66406,57,4,9,5,11,14,0,0,0,2109568,0,9706885,29000,105000,64000,450000,1000990.016
ECS,Romania,29983.55664,56.26,4.89,2.5,10.68,11.34,12.33,0,2,0,19356544,1063964,162995232,132268,590300,0,915888,5419832.5
ECS,Russian Federation,26012.84961,28.41,16.82,1.83,19.03,19.7,14.21,0,0,0,143201680,0,0,1392000,110000000,0,0,60000000
MEA,Saudi Arabia,48921.23047,45.5,4,5,2.5,27,11,0,5,0,31557144,0,0,508000,697000,0,25207,16125700.58
SSF,Sudan,4191.823242,51.4,3.5,1.7,18.9,11.8,12.7,0,0,0,38647804,0,0,51000,0,0,0,2831291
SSF,Senegal,3067.662598,12,2,2,68,5,9,0,2,0,15411614,0,0,15000,0,0,0,2454059.25
EAS,Singapore,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,1.96,5.5,4.26,5703600,0,1609300,100000,446870,0,0,1870000
EAS,Solomon Islands,2596.452881,42.8,6.65,13.15,3.7,6.45,22.35,4.9,0,0,563513,0,0,400,0,0,273.34,179971.9644
LCN,El Salvador,7328.713379,65,4,2,7,12,10,0,0,0,6164626,0,0,30100,16465,0,0,1648996.18
ECS,San Marino,58806.19922,5.35,5.61,0.9,65.56,13.21,5.6,0,1.28,2.49,33203,0,0,0,0,0,0,17174.68
ECS,Serbia,18351.27344,37.62,5.44,1.38,16.72,13.57,12.73,0.4,0,12.14,6944975,199453,46707848,14388,13475026,0,32888,2347401.5
LCN,Suriname,16953.80273,57,3,3,24,0,11,0,0,0,526103,0,0,5000,0,0,1270.2,78619.79915
ECS,Slovak Republic,31965.76172,42,19,2,1,25,11,0,0,0,5454073,920337,4023409,30911,375688,0,558605,2296164.75
